_id,Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,Population,PopulationQF,Dose,DoseQF,NumberVaccinated,NumberVaccinatedQF,PercentCoverage,PercentCoverageQF,CumulativeNumberVaccinated,CumulativeNumberVaccinatedQF,CumulativePercentCoverage,CumulativePercentCoverageQF
24,20201208,S92000003,Male,"",30 - 39,"",355259,"",Dose 2,"",0,"",0,"",0,"",0,""
25,20201208,S92000003,Male,"",40 - 49,"",331602,"",Dose 1,"",116,"",0.0349816949234323,"",116,"",0.0349816949234323,""
26,20201208,S92000003,Male,"",40 - 49,"",331602,"",Dose 2,"",0,"",0,"",0,"",0,""
27,20201208,S92000003,Male,"",50 - 54,"",193940,"",Dose 1,"",64,"",0.0329998968753223,"",64,"",0.0329998968753223,""
28,20201208,S92000003,Male,"",50 - 54,"",193940,"",Dose 2,"",0,"",0,"",0,"",0,""
29,20201208,S92000003,Male,"",55 - 59,"",190775,"",Dose 1,"",50,"",0.0262088848119513,"",50,"",0.0262088848119513,""
30,20201208,S92000003,Male,"",55 - 59,"",190775,"",Dose 2,"",0,"",0,"",0,"",0,""
31,20201208,S92000003,Male,"",60 - 64,"",166852,"",Dose 1,"",37,"",0.0221753410207849,"",37,"",0.0221753410207849,""
32,20201208,S92000003,Male,"",60 - 64,"",166852,"",Dose 2,"",0,"",0,"",0,"",0,""
33,20201208,S92000003,Male,"",65 - 69,"",144460,"",Dose 1,"",9,"",0.00623009829710647,"",9,"",0.00623009829710647,""
34,20201208,S92000003,Male,"",65 - 69,"",144460,"",Dose 2,"",0,"",0,"",0,"",0,""
35,20201208,S92000003,Male,"",70 - 74,"",132339,"",Dose 1,"",3,"",0.00226690544737379,"",3,"",0.00226690544737379,""
36,20201208,S92000003,Male,"",70 - 74,"",132339,"",Dose 2,"",0,"",0,"",0,"",0,""
37,20201208,S92000003,Male,"",75 - 79,"",87886,"",Dose 1,"",0,"",0,"",0,"",0,""
38,20201208,S92000003,Male,"",75 - 79,"",87886,"",Dose 2,"",0,"",0,"",0,"",0,""
39,20201208,S92000003,Male,"",80 years and over,d,104741,"",Dose 1,"",2,"",0.00190947193553623,"",2,"",0.00190947193553623,""
40,20201208,S92000003,Male,"",80 years and over,d,104741,"",Dose 2,"",0,"",0,"",0,"",0,""
41,20201208,S92000003,Total,d,16 years and over,d,4541903,"",Dose 1,"",1897,"",,z,1897,"",,z
42,20201208,S92000003,Total,d,16 years and over,d,4541903,"",Dose 2,"",0,"",,z,0,"",,z
43,20201208,S92000003,Total,d,18 - 29,"",848212,"",Dose 1,"",215,"",0.0253474367257242,"",215,"",0.0253474367257242,""
44,20201208,S92000003,Total,d,18 - 29,"",848212,"",Dose 2,"",0,"",0,"",0,"",0,""
45,20201208,S92000003,Total,d,18 years and over,d,4434138,"",Dose 1,"",1896,"",0.0427591563456076,"",1896,"",0.0427591563456076,""
46,20201208,S92000003,Total,d,18 years and over,d,4434138,"",Dose 2,"",0,"",0,"",0,"",0,""
47,20201208,S92000003,Total,d,30 - 39,"",721985,"",Dose 1,"",376,"",0.052078644293164,"",376,"",0.052078644293164,""
48,20201208,S92000003,Total,d,30 - 39,"",721985,"",Dose 2,"",0,"",0,"",0,"",0,""
49,20201208,S92000003,Total,d,40 - 49,"",680890,"",Dose 1,"",505,"",0.074167633538457,"",505,"",0.074167633538457,""
50,20201208,S92000003,Total,d,40 - 49,"",680890,"",Dose 2,"",0,"",0,"",0,"",0,""
51,20201208,S92000003,Total,d,40 years and over,d,2863941,"",Dose 1,"",1305,"",0.0455665811551285,"",1305,"",0.0455665811551285,""
52,20201208,S92000003,Total,d,40 years and over,d,2863941,"",Dose 2,"",0,"",0,"",0,"",0,""
53,20201208,S92000003,Total,d,50 - 54,"",401090,"",Dose 1,"",302,"",0.0752948216111097,"",302,"",0.0752948216111097,""
54,20201208,S92000003,Total,d,50 - 54,"",401090,"",Dose 2,"",0,"",0,"",0,"",0,""
55,20201208,S92000003,Total,d,55 - 59,"",393123,"",Dose 1,"",299,"",0.0760576206429031,"",299,"",0.0760576206429031,""
56,20201208,S92000003,Total,d,55 - 59,"",393123,"",Dose 2,"",0,"",0,"",0,"",0,""
57,20201208,S92000003,Total,d,60 - 64,"",344693,"",Dose 1,"",155,"",0.0449675508350909,"",155,"",0.0449675508350909,""
58,20201208,S92000003,Total,d,60 - 64,"",344693,"",Dose 2,"",0,"",0,"",0,"",0,""
59,20201208,S92000003,Total,d,65 - 69,"",299444,"",Dose 1,"",34,"",0.0113543767782958,"",34,"",0.0113543767782958,""
60,20201208,S92000003,Total,d,65 - 69,"",299444,"",Dose 2,"",0,"",0,"",0,"",0,""
61,20201208,S92000003,Total,d,70 - 74,"",278856,"",Dose 1,"",7,"",0.00251025618957455,"",7,"",0.00251025618957455,""
62,20201208,S92000003,Total,d,70 - 74,"",278856,"",Dose 2,"",0,"",0,"",0,"",0,""
63,20201208,S92000003,Total,d,75 - 79,"",195951,"",Dose 1,"",0,"",0,"",0,"",0,""
64,20201208,S92000003,Total,d,75 - 79,"",195951,"",Dose 2,"",0,"",0,"",0,"",0,""
65,20201208,S92000003,Total,d,80 years and over,d,269894,"",Dose 1,"",3,"",0.00111154749642452,"",3,"",0.00111154749642452,""
66,20201208,S92000003,Total,d,80 years and over,d,269894,"",Dose 2,"",0,"",0,"",0,"",0,""
67,20201209,S92000003,Female,"",18 - 29,"",420588,"",Dose 1,"",459,"",0.109132928186254,"",637,"",0.151454630184408,""
68,20201209,S92000003,Female,"",18 - 29,"",420588,"",Dose 2,"",0,"",0,"",0,"",0,""
69,20201209,S92000003,Female,"",30 - 39,"",366726,"",Dose 1,"",557,"",0.151884513233313,"",850,"",0.231780675490693,""
70,20201209,S92000003,Female,"",30 - 39,"",366726,"",Dose 2,"",0,"",0,"",0,"",0,""
71,20201209,S92000003,Female,"",40 - 49,"",349288,"",Dose 1,"",726,"",0.207851400563432,"",1115,"",0.319220814914913,""
72,20201209,S92000003,Female,"",40 - 49,"",349288,"",Dose 2,"",0,"",0,"",0,"",0,""
73,20201209,S92000003,Female,"",50 - 54,"",207150,"",Dose 1,"",434,"",0.209510016895969,"",672,"",0.324402606806662,""
74,20201209,S92000003,Female,"",50 - 54,"",207150,"",Dose 2,"",0,"",0,"",0,"",0,""
75,20201209,S92000003,Female,"",55 - 59,"",202348,"",Dose 1,"",438,"",0.216458773993318,"",687,"",0.339514104414178,""
76,20201209,S92000003,Female,"",55 - 59,"",202348,"",Dose 2,"",0,"",0,"",0,"",0,""
77,20201209,S92000003,Female,"",60 - 64,"",177841,"",Dose 1,"",259,"",0.145635708301235,"",377,"",0.211987112083265,""
78,20201209,S92000003,Female,"",60 - 64,"",177841,"",Dose 2,"",0,"",0,"",0,"",0,""
79,20201209,S92000003,Female,"",65 - 69,"",154984,"",Dose 1,"",50,"",0.0322613947246167,"",75,"",0.0483920920869251,""
80,20201209,S92000003,Female,"",65 - 69,"",154984,"",Dose 2,"",0,"",0,"",0,"",0,""
81,20201209,S92000003,Female,"",70 - 74,"",146517,"",Dose 1,"",9,"",0.00614263191302033,"",13,"",0.00887269054102937,""
82,20201209,S92000003,Female,"",70 - 74,"",146517,"",Dose 2,"",0,"",0,"",0,"",0,""
83,20201209,S92000003,Female,"",75 - 79,"",108065,"",Dose 1,"",5,"",0.00462684495442558,"",5,"",0.00462684495442558,""
84,20201209,S92000003,Female,"",75 - 79,"",108065,"",Dose 2,"",0,"",0,"",0,"",0,""
85,20201209,S92000003,Female,"",80 years and over,d,165153,"",Dose 1,"",1,"",0.000605499143218712,"",2,"",0.00121099828643742,""
86,20201209,S92000003,Female,"",80 years and over,d,165153,"",Dose 2,"",0,"",0,"",0,"",0,""
87,20201209,S92000003,Male,"",18 - 29,"",427624,"",Dose 1,"",112,"",0.0261912334200138,"",149,"",0.0348436944605541,""
88,20201209,S92000003,Male,"",18 - 29,"",427624,"",Dose 2,"",0,"",0,"",0,"",0,""
89,20201209,S92000003,Male,"",30 - 39,"",355259,"",Dose 1,"",190,"",0.0534821074202202,"",273,"",0.0768453438195795,""
90,20201209,S92000003,Male,"",30 - 39,"",355259,"",Dose 2,"",0,"",0,"",0,"",0,""
91,20201209,S92000003,Male,"",40 - 49,"",331602,"",Dose 1,"",251,"",0.0756931502222544,"",367,"",0.110674845145687,""
92,20201209,S92000003,Male,"",40 - 49,"",331602,"",Dose 2,"",0,"",0,"",0,"",0,""
93,20201209,S92000003,Male,"",50 - 54,"",193940,"",Dose 1,"",128,"",0.0659997937506445,"",192,"",0.0989996906259668,""
94,20201209,S92000003,Male,"",50 - 54,"",193940,"",Dose 2,"",0,"",0,"",0,"",0,""
95,20201209,S92000003,Male,"",55 - 59,"",190775,"",Dose 1,"",105,"",0.0550386581050976,"",155,"",0.0812475429170489,""
96,20201209,S92000003,Male,"",55 - 59,"",190775,"",Dose 2,"",0,"",0,"",0,"",0,""
97,20201209,S92000003,Male,"",60 - 64,"",166852,"",Dose 1,"",86,"",0.0515426845347973,"",123,"",0.0737180255555822,""
98,20201209,S92000003,Male,"",60 - 64,"",166852,"",Dose 2,"",0,"",0,"",0,"",0,""
99,20201209,S92000003,Male,"",65 - 69,"",144460,"",Dose 1,"",21,"",0.0145368960265818,"",30,"",0.0207669943236882,""
100,20201209,S92000003,Male,"",65 - 69,"",144460,"",Dose 2,"",0,"",0,"",0,"",0,""
101,20201209,S92000003,Male,"",70 - 74,"",132339,"",Dose 1,"",5,"",0.00377817574562298,"",8,"",0.00604508119299677,""
102,20201209,S92000003,Male,"",70 - 74,"",132339,"",Dose 2,"",0,"",0,"",0,"",0,""
103,20201209,S92000003,Male,"",75 - 79,"",87886,"",Dose 1,"",1,"",0.00113783765332362,"",1,"",0.00113783765332362,""
104,20201209,S92000003,Male,"",75 - 79,"",87886,"",Dose 2,"",0,"",0,"",0,"",0,""
105,20201209,S92000003,Male,"",80 years and over,d,104741,"",Dose 1,"",1,"",0.000954735967768114,"",3,"",0.00286420790330434,""
106,20201209,S92000003,Male,"",80 years and over,d,104741,"",Dose 2,"",0,"",0,"",0,"",0,""
107,20201209,S92000003,Total,d,16 years and over,d,4541903,"",Dose 1,"",3838,"",,z,5735,"",,z
108,20201209,S92000003,Total,d,16 years and over,d,4541903,"",Dose 2,"",0,"",,z,0,"",,z
109,20201209,S92000003,Total,d,18 - 29,"",848212,"",Dose 1,"",571,"",0.067318076141342,"",786,"",0.0926655128670663,""
110,20201209,S92000003,Total,d,18 - 29,"",848212,"",Dose 2,"",0,"",0,"",0,"",0,""
111,20201209,S92000003,Total,d,18 years and over,d,4434138,"",Dose 1,"",3838,"",0.0865557183831446,"",5734,"",0.129314874728752,""
112,20201209,S92000003,Total,d,18 years and over,d,4434138,"",Dose 2,"",0,"",0,"",0,"",0,""
113,20201209,S92000003,Total,d,30 - 39,"",721985,"",Dose 1,"",747,"",0.103464753422855,"",1123,"",0.155543397716019,""
114,20201209,S92000003,Total,d,30 - 39,"",721985,"",Dose 2,"",0,"",0,"",0,"",0,""
115,20201209,S92000003,Total,d,40 - 49,"",680890,"",Dose 1,"",977,"",0.143488669241728,"",1482,"",0.217656302780185,""
116,20201209,S92000003,Total,d,40 - 49,"",680890,"",Dose 2,"",0,"",0,"",0,"",0,""
117,20201209,S92000003,Total,d,40 years and over,d,2863941,"",Dose 1,"",2520,"",0.0879906394719724,"",3825,"",0.133557220627101,""
118,20201209,S92000003,Total,d,40 years and over,d,2863941,"",Dose 2,"",0,"",0,"",0,"",0,""
119,20201209,S92000003,Total,d,50 - 54,"",401090,"",Dose 1,"",562,"",0.140118177965045,"",864,"",0.215412999576155,""
120,20201209,S92000003,Total,d,50 - 54,"",401090,"",Dose 2,"",0,"",0,"",0,"",0,""
121,20201209,S92000003,Total,d,55 - 59,"",393123,"",Dose 1,"",543,"",0.138124709060523,"",842,"",0.214182329703426,""
122,20201209,S92000003,Total,d,55 - 59,"",393123,"",Dose 2,"",0,"",0,"",0,"",0,""
123,20201209,S92000003,Total,d,60 - 64,"",344693,"",Dose 1,"",345,"",0.100089064761977,"",500,"",0.145056615597068,""
124,20201209,S92000003,Total,d,60 - 64,"",344693,"",Dose 2,"",0,"",0,"",0,"",0,""
125,20201209,S92000003,Total,d,65 - 69,"",299444,"",Dose 1,"",71,"",0.0237106103311471,"",105,"",0.0350649871094428,""
126,20201209,S92000003,Total,d,65 - 69,"",299444,"",Dose 2,"",0,"",0,"",0,"",0,""
127,20201209,S92000003,Total,d,70 - 74,"",278856,"",Dose 1,"",14,"",0.0050205123791491,"",21,"",0.00753076856872364,""
128,20201209,S92000003,Total,d,70 - 74,"",278856,"",Dose 2,"",0,"",0,"",0,"",0,""
129,20201209,S92000003,Total,d,75 - 79,"",195951,"",Dose 1,"",6,"",0.00306198998729274,"",6,"",0.00306198998729274,""
130,20201209,S92000003,Total,d,75 - 79,"",195951,"",Dose 2,"",0,"",0,"",0,"",0,""
131,20201209,S92000003,Total,d,80 years and over,d,269894,"",Dose 1,"",2,"",0.000741031664283015,"",5,"",0.00185257916070754,""
132,20201209,S92000003,Total,d,80 years and over,d,269894,"",Dose 2,"",0,"",0,"",0,"",0,""
133,20201210,S92000003,Female,"",18 - 29,"",420588,"",Dose 1,"",599,"",0.142419660094915,"",1236,"",0.293874290279323,""
134,20201210,S92000003,Female,"",18 - 29,"",420588,"",Dose 2,"",0,"",0,"",0,"",0,""
135,20201210,S92000003,Female,"",30 - 39,"",366726,"",Dose 1,"",733,"",0.199876747217269,"",1583,"",0.431657422707962,""
136,20201210,S92000003,Female,"",30 - 39,"",366726,"",Dose 2,"",0,"",0,"",0,"",0,""
137,20201210,S92000003,Female,"",40 - 49,"",349288,"",Dose 1,"",876,"",0.250795904812075,"",1991,"",0.570016719726988,""
138,20201210,S92000003,Female,"",40 - 49,"",349288,"",Dose 2,"",0,"",0,"",0,"",0,""
139,20201210,S92000003,Female,"",50 - 54,"",207150,"",Dose 1,"",622,"",0.300265508085928,"",1294,"",0.62466811489259,""
140,20201210,S92000003,Female,"",50 - 54,"",207150,"",Dose 2,"",0,"",0,"",0,"",0,""
141,20201210,S92000003,Female,"",55 - 59,"",202348,"",Dose 1,"",597,"",0.295036274141578,"",1284,"",0.634550378555755,""
142,20201210,S92000003,Female,"",55 - 59,"",202348,"",Dose 2,"",0,"",0,"",0,"",0,""
143,20201210,S92000003,Female,"",60 - 64,"",177841,"",Dose 1,"",341,"",0.191744310929426,"",718,"",0.403731423012691,""
144,20201210,S92000003,Female,"",60 - 64,"",177841,"",Dose 2,"",0,"",0,"",0,"",0,""
145,20201210,S92000003,Female,"",65 - 69,"",154984,"",Dose 1,"",83,"",0.0535539152428638,"",158,"",0.101946007329789,""
146,20201210,S92000003,Female,"",65 - 69,"",154984,"",Dose 2,"",0,"",0,"",0,"",0,""
147,20201210,S92000003,Female,"",70 - 74,"",146517,"",Dose 1,"",24,"",0.0163803517680542,"",37,"",0.0252530423090836,""
148,20201210,S92000003,Female,"",70 - 74,"",146517,"",Dose 2,"",0,"",0,"",0,"",0,""
149,20201210,S92000003,Female,"",75 - 79,"",108065,"",Dose 1,"",3,"",0.00277610697265535,"",8,"",0.00740295192708092,""
150,20201210,S92000003,Female,"",75 - 79,"",108065,"",Dose 2,"",0,"",0,"",0,"",0,""
151,20201210,S92000003,Female,"",80 years and over,d,165153,"",Dose 1,"",1,"",0.000605499143218712,"",3,"",0.00181649742965614,""
152,20201210,S92000003,Female,"",80 years and over,d,165153,"",Dose 2,"",0,"",0,"",0,"",0,""
153,20201210,S92000003,Male,"",18 - 29,"",427624,"",Dose 1,"",154,"",0.036012945952519,"",303,"",0.0708566404130732,""
154,20201210,S92000003,Male,"",18 - 29,"",427624,"",Dose 2,"",0,"",0,"",0,"",0,""
155,20201210,S92000003,Male,"",30 - 39,"",355259,"",Dose 1,"",235,"",0.0661489223355355,"",508,"",0.142994266155115,""
156,20201210,S92000003,Male,"",30 - 39,"",355259,"",Dose 2,"",0,"",0,"",0,"",0,""
157,20201210,S92000003,Male,"",40 - 49,"",331602,"",Dose 1,"",241,"",0.0726774868667861,"",608,"",0.183352332012473,""
158,20201210,S92000003,Male,"",40 - 49,"",331602,"",Dose 2,"",0,"",0,"",0,"",0,""
159,20201210,S92000003,Male,"",50 - 54,"",193940,"",Dose 1,"",152,"",0.0783747550788904,"",344,"",0.177374445704857,""
160,20201210,S92000003,Male,"",50 - 54,"",193940,"",Dose 2,"",0,"",0,"",0,"",0,""
161,20201210,S92000003,Male,"",55 - 59,"",190775,"",Dose 1,"",142,"",0.0744332328659416,"",297,"",0.15568077578299,""
162,20201210,S92000003,Male,"",55 - 59,"",190775,"",Dose 2,"",0,"",0,"",0,"",0,""
163,20201210,S92000003,Male,"",60 - 64,"",166852,"",Dose 1,"",87,"",0.0521420180758996,"",210,"",0.125860043631482,""
164,20201210,S92000003,Male,"",60 - 64,"",166852,"",Dose 2,"",0,"",0,"",0,"",0,""
165,20201210,S92000003,Male,"",65 - 69,"",144460,"",Dose 1,"",29,"",0.0200747611795653,"",59,"",0.0408417555032535,""
166,20201210,S92000003,Male,"",65 - 69,"",144460,"",Dose 2,"",0,"",0,"",0,"",0,""
167,20201210,S92000003,Male,"",70 - 74,"",132339,"",Dose 1,"",6,"",0.00453381089474758,"",14,"",0.0105788920877444,""
168,20201210,S92000003,Male,"",70 - 74,"",132339,"",Dose 2,"",0,"",0,"",0,"",0,""
169,20201210,S92000003,Male,"",75 - 79,"",87886,"",Dose 1,"",4,"",0.0045513506132945,"",5,"",0.00568918826661812,""
170,20201210,S92000003,Male,"",75 - 79,"",87886,"",Dose 2,"",0,"",0,"",0,"",0,""
171,20201210,S92000003,Male,"",80 years and over,d,104741,"",Dose 1,"",1,"",0.000954735967768114,"",4,"",0.00381894387107246,""
172,20201210,S92000003,Male,"",80 years and over,d,104741,"",Dose 2,"",0,"",0,"",0,"",0,""
173,20201210,S92000003,Total,d,16 years and over,d,4541903,"",Dose 1,"",4932,"",,z,10667,"",,z
174,20201210,S92000003,Total,d,16 years and over,d,4541903,"",Dose 2,"",0,"",,z,0,"",,z
175,20201210,S92000003,Total,d,18 - 29,"",848212,"",Dose 1,"",753,"",0.0887749760673039,"",1539,"",0.18144048893437,""
176,20201210,S92000003,Total,d,18 - 29,"",848212,"",Dose 2,"",0,"",0,"",0,"",0,""
177,20201210,S92000003,Total,d,18 years and over,d,4434138,"",Dose 1,"",4930,"",0.11118282741764,"",10664,"",0.240497702146392,""
178,20201210,S92000003,Total,d,18 years and over,d,4434138,"",Dose 2,"",0,"",0,"",0,"",0,""
179,20201210,S92000003,Total,d,30 - 39,"",721985,"",Dose 1,"",968,"",0.134074807648358,"",2091,"",0.289618205364377,""
180,20201210,S92000003,Total,d,30 - 39,"",721985,"",Dose 2,"",0,"",0,"",0,"",0,""
181,20201210,S92000003,Total,d,40 - 49,"",680890,"",Dose 1,"",1117,"",0.164049993391003,"",2599,"",0.381706296171188,""
182,20201210,S92000003,Total,d,40 - 49,"",680890,"",Dose 2,"",0,"",0,"",0,"",0,""
183,20201210,S92000003,Total,d,40 years and over,d,2863941,"",Dose 1,"",3209,"",0.112048397645063,"",7034,"",0.245605618272164,""
184,20201210,S92000003,Total,d,40 years and over,d,2863941,"",Dose 2,"",0,"",0,"",0,"",0,""
185,20201210,S92000003,Total,d,50 - 54,"",401090,"",Dose 1,"",774,"",0.192974145453639,"",1638,"",0.408387145029794,""
186,20201210,S92000003,Total,d,50 - 54,"",401090,"",Dose 2,"",0,"",0,"",0,"",0,""
187,20201210,S92000003,Total,d,55 - 59,"",393123,"",Dose 1,"",739,"",0.187981878445169,"",1581,"",0.402164208148595,""
188,20201210,S92000003,Total,d,55 - 59,"",393123,"",Dose 2,"",0,"",0,"",0,"",0,""
189,20201210,S92000003,Total,d,60 - 64,"",344693,"",Dose 1,"",428,"",0.12416846295109,"",928,"",0.269225078548157,""
190,20201210,S92000003,Total,d,60 - 64,"",344693,"",Dose 2,"",0,"",0,"",0,"",0,""
191,20201210,S92000003,Total,d,65 - 69,"",299444,"",Dose 1,"",112,"",0.037402652916739,"",217,"",0.0724676400261818,""
192,20201210,S92000003,Total,d,65 - 69,"",299444,"",Dose 2,"",0,"",0,"",0,"",0,""
193,20201210,S92000003,Total,d,70 - 74,"",278856,"",Dose 1,"",30,"",0.0107582408124623,"",51,"",0.018289009381186,""
194,20201210,S92000003,Total,d,70 - 74,"",278856,"",Dose 2,"",0,"",0,"",0,"",0,""
195,20201210,S92000003,Total,d,75 - 79,"",195951,"",Dose 1,"",7,"",0.00357232165184153,"",13,"",0.00663431163913427,""
196,20201210,S92000003,Total,d,75 - 79,"",195951,"",Dose 2,"",0,"",0,"",0,"",0,""
197,20201210,S92000003,Total,d,80 years and over,d,269894,"",Dose 1,"",2,"",0.000741031664283015,"",7,"",0.00259361082499055,""
198,20201210,S92000003,Total,d,80 years and over,d,269894,"",Dose 2,"",0,"",0,"",0,"",0,""
199,20201211,S92000003,Female,"",18 - 29,"",420588,"",Dose 1,"",643,"",0.152881204409065,"",1879,"",0.446755494688389,""
200,20201211,S92000003,Female,"",18 - 29,"",420588,"",Dose 2,"",0,"",0,"",0,"",0,""
201,20201211,S92000003,Female,"",30 - 39,"",366726,"",Dose 1,"",775,"",0.211329439417985,"",2358,"",0.642986862125947,""
202,20201211,S92000003,Female,"",30 - 39,"",366726,"",Dose 2,"",0,"",0,"",0,"",0,""
203,20201211,S92000003,Female,"",40 - 49,"",349288,"",Dose 1,"",918,"",0.262820366001695,"",2909,"",0.832837085728682,""
204,20201211,S92000003,Female,"",40 - 49,"",349288,"",Dose 2,"",0,"",0,"",0,"",0,""
205,20201211,S92000003,Female,"",50 - 54,"",207150,"",Dose 1,"",625,"",0.301713734009172,"",1919,"",0.926381848901762,""
206,20201211,S92000003,Female,"",50 - 54,"",207150,"",Dose 2,"",1,"",0.000482741974414675,"",1,"",0.000482741974414675,""
207,20201211,S92000003,Female,"",55 - 59,"",202348,"",Dose 1,"",635,"",0.313815802478898,"",1919,"",0.948366181034653,""
208,20201211,S92000003,Female,"",55 - 59,"",202348,"",Dose 2,"",1,"",0.000494198114139996,"",1,"",0.000494198114139996,""
209,20201211,S92000003,Female,"",60 - 64,"",177841,"",Dose 1,"",395,"",0.222108512660185,"",1113,"",0.625839935672876,""
210,20201211,S92000003,Female,"",60 - 64,"",177841,"",Dose 2,"",0,"",0,"",0,"",0,""
211,20201211,S92000003,Female,"",65 - 69,"",154984,"",Dose 1,"",92,"",0.0593609662932948,"",250,"",0.161306973623084,""
212,20201211,S92000003,Female,"",65 - 69,"",154984,"",Dose 2,"",0,"",0,"",0,"",0,""
213,20201211,S92000003,Female,"",70 - 74,"",146517,"",Dose 1,"",20,"",0.0136502931400452,"",57,"",0.0389033354491288,""
214,20201211,S92000003,Female,"",70 - 74,"",146517,"",Dose 2,"",0,"",0,"",0,"",0,""
215,20201211,S92000003,Female,"",75 - 79,"",108065,"",Dose 1,"",3,"",0.00277610697265535,"",11,"",0.0101790588997363,""
216,20201211,S92000003,Female,"",75 - 79,"",108065,"",Dose 2,"",0,"",0,"",0,"",0,""
217,20201211,S92000003,Female,"",80 years and over,d,165153,"",Dose 1,"",1,"",0.000605499143218712,"",4,"",0.00242199657287485,""
218,20201211,S92000003,Female,"",80 years and over,d,165153,"",Dose 2,"",0,"",0,"",0,"",0,""
219,20201211,S92000003,Male,"",18 - 29,"",427624,"",Dose 1,"",175,"",0.0409238022187716,"",478,"",0.111780442631845,""
220,20201211,S92000003,Male,"",18 - 29,"",427624,"",Dose 2,"",0,"",0,"",0,"",0,""
221,20201211,S92000003,Male,"",30 - 39,"",355259,"",Dose 1,"",249,"",0.070089709198078,"",757,"",0.213083975353193,""
222,20201211,S92000003,Male,"",30 - 39,"",355259,"",Dose 2,"",0,"",0,"",0,"",0,""
223,20201211,S92000003,Male,"",40 - 49,"",331602,"",Dose 1,"",266,"",0.0802166452554569,"",874,"",0.26356897726793,""
224,20201211,S92000003,Male,"",40 - 49,"",331602,"",Dose 2,"",0,"",0,"",0,"",0,""
225,20201211,S92000003,Male,"",50 - 54,"",193940,"",Dose 1,"",165,"",0.0850778591316902,"",509,"",0.262452304836547,""
226,20201211,S92000003,Male,"",50 - 54,"",193940,"",Dose 2,"",0,"",0,"",0,"",0,""
227,20201211,S92000003,Male,"",55 - 59,"",190775,"",Dose 1,"",176,"",0.0922552745380684,"",473,"",0.247936050321059,""
228,20201211,S92000003,Male,"",55 - 59,"",190775,"",Dose 2,"",0,"",0,"",0,"",0,""
229,20201211,S92000003,Male,"",60 - 64,"",166852,"",Dose 1,"",92,"",0.0551386857814111,"",302,"",0.180998729412893,""
230,20201211,S92000003,Male,"",60 - 64,"",166852,"",Dose 2,"",0,"",0,"",0,"",0,""
